iter	Passed	Remaining
0	297	356222
1	438	262790
2	630	251439
3	835	249766
4	1018	243384
5	1151	229087
6	1266	215827
7	1416	211070
8	1588	210155
9	1736	206690
10	1941	209883
11	2095	207419
12	2200	200926
13	2291	194143
14	2445	193176
15	2745	203144
16	2833	197161
17	2972	195185
18	3086	191868
19	3199	188770
20	3310	185871
21	3476	186175
22	3705	189643
23	3870	189665
24	3985	187317
25	4111	185664
26	4236	184070
27	4418	184948
28	4579	184919
29	4621	180220
30	4736	178618
31	4877	178042
32	4934	174510
33	5039	172820
34	5148	171359
35	5258	170025
36	5382	169199
37	5423	165834
38	5536	164804
39	5645	163724
40	5750	162564
41	5863	161654
42	6006	161612
43	6124	160901
44	6234	160022
45	6368	159760
46	6514	159816
47	6573	157774
48	6733	158179
49	6878	158210
50	7103	160044
51	7240	159855
52	7298	157957
53	7355	156099
54	7479	155714
55	7518	153593
56	7628	152963
57	7653	150689
58	7755	149983
59	7867	149489
60	8030	149954
61	8147	149554
62	8249	148881
63	8362	148437
64	8502	148467
65	8594	147677
66	8703	147172
67	8820	146836
68	8941	146569
69	9070	146424
70	9178	145943
71	9275	145321
72	9381	144833
73	9487	144367
74	9583	143748
75	9693	143363
76	9808	143046
77	9926	142792
78	9979	141605
79	10085	141197
80	10210	141056
81	10329	140836
82	10444	140557
83	10559	140286
84	10659	139832
85	10769	139506
86	10858	138914
87	10956	138452
88	11057	138030
89	11102	136926
90	11244	137032
91	11350	136705
92	11493	136813
93	11635	136908
94	11758	136764
95	11923	137115
96	12090	137482
97	12207	137270
98	12641	140586
99	12771	140484
100	12884	140197
101	13002	139970
102	13034	138825
103	13104	138096
104	13420	139960
105	13682	141214
106	13858	141559
107	13940	140950
108	14077	140900
109	14131	140030
110	14271	140010
111	14421	140090
112	14587	140324
113	14725	140280
114	14860	140201
115	14986	140050
116	15200	140698
117	15303	140322
118	15410	139991
119	15473	139262
120	15557	138728
121	15670	138468
122	15782	138192
123	15883	137824
124	15997	137580
125	16106	137291
126	16197	136847
127	16305	136558
128	16412	136261
129	16513	135914
130	16600	135461
131	16736	135410
132	16864	135294
133	16959	134913
134	17057	134568
135	17367	135876
136	17447	135373
137	17760	136679
138	17832	136117
139	17927	135739
140	18029	135413
141	18056	134535
142	18162	134246
143	18284	134083
144	18370	133661
145	18395	132801
146	18797	134648
147	19190	136408
148	19441	137134
149	19487	136412
150	19610	136236
151	19707	135876
152	19827	135683
153	19937	135422
154	20059	135243
155	20211	135264
156	20445	135827
157	20612	135940
158	20908	136889
159	21226	137970
160	21352	137795
161	21453	137460
162	21599	137415
163	21796	137690
164	21825	136908
165	21869	136223
166	21968	135888
167	22071	135584
168	22121	134956
169	22233	134706
170	22371	134620
171	22452	134189
172	22516	133670
173	22647	133539
174	22772	133379
175	22917	133338
176	22972	132770
177	23106	132670
178	23228	132490
179	23346	132295
180	23436	131940
181	23537	131654
182	23653	131453
183	23759	131194
184	23862	130923
185	23899	130292
186	23991	129966
187	24093	129694
188	24184	129370
189	24287	129108
190	24391	128855
191	24527	128767
192	24697	128859
193	24935	129305
194	25053	129121
195	25160	128883
196	25248	128550
197	25372	128400
198	25467	128107
199	25585	127928
200	25688	127675
201	25783	127383
202	25879	127104
203	25982	126855
204	26071	126540
205	26154	126203
206	26246	125906
207	26342	125631
208	26482	125570
